,elevation,relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c,is_hot_day
300,74,14.44,200.0,14.0,29.77,3.73,35.0,4.0,32.53888889,0
301,74,34.41,280.0,9.0,29.91,6.21,27.0,10.0,27.0,0
302,74,65.54,70.0,12.0,29.91,6.21,27.0,20.0,28.49444444,0
303,74,44.25,300.0,8.0,30.03,6.21,25.0,12.0,25.0,0
304,74,47.52,320.0,7.0,29.97,6.21,26.0,14.0,26.0,0
305,74,36.79,30.0,14.0,29.94,6.21,27.0,11.0,27.0,0
306,74,28.63,60.0,15.0,29.97,6.21,29.0,9.0,27.8,0
307,74,25.52,350.0,8.0,30.0,6.21,31.0,9.0,29.37222222,0
308,74,42.8,40.0,8.0,30.0,3.73,30.0,16.0,30.02777778,0
309,74,48.05,350.0,7.0,29.97,6.21,28.0,16.0,28.27777778,0
310,74,44.25,40.0,5.0,29.94,3.73,25.0,12.0,25.0,0
311,74,34.13,50.0,12.0,29.91,6.21,26.0,9.0,26.0,0
312,74,41.97,40.0,9.0,29.88,6.21,27.0,13.0,26.96111111,0
313,74,45.34,350.0,6.0,30.06,6.21,29.0,16.0,29.12777778,0
314,74,42.52,10.0,8.0,30.03,3.73,29.0,15.0,28.84444444,0
315,74,37.35,100.0,2.0,29.83,6.21,29.0,13.0,28.38333333,0
316,74,36.08,230.0,4.0,60.0,2.49,33.0,16.0,33.0,0
317,74,50.95,280.0,6.0,29.94,3.73,27.0,16.0,27.47777778,0
318,74,42.25,10.0,6.0,30.03,6.21,28.0,14.0,27.82222222,0
319,74,47.52,10.0,8.0,29.97,6.21,26.0,14.0,26.0,0
320,74,50.43,350.0,7.0,29.91,6.21,25.0,14.0,25.0,0
321,74,54.05,50.0,10.0,30.0,6.21,26.0,16.0,26.0,0
322,74,54.3,20.0,10.0,30.06,6.21,27.0,17.0,27.68888889,0
323,74,57.36,10.0,12.0,30.0,3.73,25.0,16.0,25.0,0
324,74,50.17,350.0,9.0,29.97,6.21,24.0,13.0,24.0,0
325,74,44.25,10.0,9.0,29.94,6.21,25.0,12.0,25.0,0
326,74,43.97,50.0,8.0,29.91,6.21,24.0,11.0,24.0,0
327,74,41.42,350.0,3.0,29.94,6.21,25.0,11.0,25.0,0
328,74,36.22,40.0,8.0,29.97,6.21,25.0,9.0,25.0,0
329,74,39.02,30.0,9.0,30.0,6.21,26.0,11.0,26.0,0
330,74,50.69,20.0,9.0,30.03,2.49,26.0,15.0,26.0,0
331,74,36.79,50.0,14.0,30.03,6.21,27.0,11.0,27.0,0
332,74,25.26,10.0,3.0,29.97,6.21,30.0,8.0,28.45555556,0
333,74,47.79,330.0,4.0,30.03,1.24,27.0,15.0,27.28333333,0
334,74,41.69,330.0,6.0,30.06,2.49,26.0,12.0,26.0,0
335,74,36.51,30.0,10.0,30.03,6.21,26.0,10.0,26.0,0
336,74,46.98,340.0,3.0,30.03,1.86,24.0,12.0,24.0,0
337,74,44.25,310.0,6.0,30.0,0.47,25.0,12.0,25.0,0
338,74,64.48,310.0,5.0,29.97,1.24,22.0,15.0,22.0,0
339,74,49.37,310.0,4.0,30.0,6.21,21.0,10.0,21.0,0
340,74,53.03,320.0,9.0,30.0,6.21,22.0,12.0,22.0,0
341,74,53.03,10.0,6.0,30.06,2.49,22.0,12.0,22.0,0
342,74,53.03,350.0,7.0,29.97,2.49,22.0,12.0,22.0,0
343,74,43.97,210.0,16.0,29.83,2.49,24.0,11.0,24.0,0
344,74,52.51,210.0,14.0,29.68,0.75,20.0,10.0,20.0,0
345,74,38.56,250.0,25.0,29.74,0.31,15.0,1.0,15.0,0
346,74,36.74,210.0,12.0,30.06,6.21,18.0,3.0,18.0,0
347,74,29.92,210.0,15.0,30.03,6.21,19.0,1.0,19.0,0
348,74,18.55,200.0,12.0,29.91,2.49,22.0,-3.0,20.73888889,0
349,74,17.7,200.0,9.0,29.88,2.49,24.0,-2.0,22.91666667,0
350,74,28.68,200.0,7.0,29.91,2.49,22.0,3.0,21.00555556,0
351,74,39.43,240.0,5.0,30.09,1.86,18.0,4.0,18.0,0
